OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	taxonomy
OTU27	256	609	332	0	0	0	330	145	145	106	0	25	100%|Acremonium_alcalophilum|SH219650.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Incertae_sedis_3;g_Acremonium
OTU28	860	384	646	0	0	0	0	0	0	0	0	0	40%|Chytridiomycota_sp|SH233268.06FUk_Fungi;p_Chytridiomycota;c_Chytridiomycota_unidentified;o_Chytridiomycota_unidentified_1;f_Chytridiomycota_unidentified_1;g_Chytridiomycota_unidentified_1_1
OTU29	838	484	563	0	0	0	219	312	122	116	47	61	17%|Ascomycota_sp|SH222046.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU30	0	0	0	273	814	70	0	0	0	278	266	56	2%|Candida_kanchanaburiensis|SH213735.06FUk_Fungi;p_Ascomycota;c_Saccharomycetes;o_Saccharomycetales;f_Incertae_sedis_11;g_Candida
OTU31	0	6	0	48	137	21	5	8	2	558	387	552	100%|Sordariomycetes_sp|SH240579.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
OTU32	10	0	22	509	119	484	0	0	0	97	195	161	3%|Inocybe_posterula|SH191451.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales;f_Inocybaceae;g_Inocybe
OTU33	89	85	75	0	0	0	457	527	410	13	11	8	21%|Trichocladium_asperum|SH234966.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Chaetomiaceae;g_Trichocladium
OTU34	96	127	88	47	24	123	155	219	172	313	474	108	95%|Penicillium_simplicissimum|SH201064.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Trichocomaceae;g_Penicillium
OTU35	307	248	443	0	0	0	199	255	174	0	0	12	100%|Fusarium_delphinoides|SH223633.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Nectriaceae;g_Fusarium
OTU36	47	14	54	20	0	64	482	687	510	26	33	47	100%|Sordariomycetes_sp|SH219629.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
