OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	taxonomy
OTU316	0	0	0	0	30	7	0	0	0	0	0	0	49%|Mortierellaceae_sp|SH197925.06FUk_Fungi;p_Zygomycota;c_Incertae_sedis_10;o_Mortierellales;f_Mortierellaceae;g_Mortierellaceae_unidentified
OTU317	0	0	41	0	0	0	0	0	0	0	0	0	9%|Basidiomycota_sp|SH217991.06FUk_Fungi;p_Basidiomycota;c_Basidiomycota_unidentified;o_Basidiomycota_unidentified_1;f_Basidiomycota_unidentified_1;g_Basidiomycota_unidentified_1_1
OTU318	0	0	0	0	0	16	0	0	0	0	0	41	98%|Phialocephala_fortinii|SH213468.06FUk_Fungi;p_Ascomycota;c_Leotiomycetes;o_Helotiales;f_Vibrisseaceae;g_Phialocephala
OTU319	10	5	9	0	0	0	1	3	2	10	0	0	12%|Leotiomycetes_sp|SH213009.06FUk_Fungi;p_Ascomycota;c_Leotiomycetes;o_Leotiomycetes_unidentified;f_Leotiomycetes_unidentified_1;g_Leotiomycetes_unidentified_1
OTU320	0	0	0	0	0	0	0	0	39	0	0	0	5%|Amanita_sp|SH240738.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales;f_Amanitaceae;g_Amanita
OTU321	0	0	0	0	0	0	0	0	0	38	0	0	98%|Sordariomycetes_sp|SH201443.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
OTU322	0	0	0	0	0	0	40	0	0	0	0	0	1%|Sebacinaceae_sp|SH234126.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Sebacinales;f_Sebacinaceae;g_Sebacinaceae_unidentified
OTU323	0	0	0	0	0	0	0	0	0	0	40	0	0%|Knufia_perforans|SH209750.06FUk_Fungi;p_Ascomycota;c_Incertae_sedis_14;o_Incertae_sedis_15;f_Incertae_sedis_16;g_Knufia
OTU324	0	0	0	40	0	0	0	0	0	0	0	0	5%|Xylaria_sp_12c_co2|SH225814.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Xylariales;f_Xylariaceae;g_Xylaria
OTU325	0	0	0	20	0	19	0	0	0	16	0	0	9%|Verrucula_granulosaria|SH235443.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Verrucariales;f_Verrucariaceae;g_Verrucaria
OTU326	0	0	0	0	0	0	21	10	10	0	0	0	100%|Fungi_sp|SH235722.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
OTU327	0	0	0	0	0	0	0	0	0	0	0	37	100%|Malasseziales_sp|SH219325.06FUk_Fungi;p_Basidiomycota;c_Incertae_sedis_4;o_Malasseziales;f_Malasseziales_unidentified;g_Malasseziales_unidentified_1
OTU328	0	8	16	0	0	0	0	2	12	0	0	0	19%|Naumovozyma_sp_QMW_2012|SH236489.06FUk_Fungi;p_Ascomycota;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Naumovozyma
OTU329	0	0	0	0	0	0	27	8	4	0	0	0	100%|Spegazzinia_sp|SH241784.06FUk_Fungi;p_Ascomycota;c_Incertae_sedis_14;o_Incertae_sedis_15;f_Incertae_sedis_16;g_Spegazzinia
OTU330	29	17	20	0	0	0	0	1	0	0	0	0	94%|Sordariomycetes_sp|SH212488.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
OTU331	26	0	0	0	37	4	0	0	0	0	19	0	49%|Cercospora_apii|SH212704.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Capnodiales;f_Mycosphaerellaceae;g_Cercospora
OTU332	30	13	11	0	0	0	12	0	0	0	0	0	25%|Chytridiomycota_sp|SH233268.06FUk_Fungi;p_Chytridiomycota;c_Chytridiomycota_unidentified;o_Chytridiomycota_unidentified_1;f_Chytridiomycota_unidentified_1;g_Chytridiomycota_unidentified_1_1
OTU333	2	0	0	0	35	0	0	0	0	0	0	0	19%|Schizothecium_inaequale|SH222047.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Lasiosphaeriaceae;g_Schizothecium
OTU334	0	0	0	0	0	37	0	0	0	0	0	0	5%|Pleosporaceae_sp|SH211758.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Pleosporaceae;g_Pleosporaceae_unidentified
OTU335	37	0	0	0	0	0	0	0	0	0	0	0	43%|Thelephoraceae_sp|SH202635.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Thelephorales;f_Thelephoraceae;g_Thelephoraceae_unidentified
OTU336	0	0	0	0	27	0	3	0	0	0	0	12	100%|Penicillium_citrinum|SH213185.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Trichocomaceae;g_Penicillium
OTU337	0	0	0	0	0	0	0	0	0	0	38	0	26%|Ramicandelaber_sp_HMH_2010a|SH237136.06FUk_Fungi;p_Zygomycota;c_Incertae_sedis_10;o_Kickxellales;f_Kickxellaceae;g_Ramicandelaber
OTU338	0	8	5	0	0	0	0	9	3	0	11	0	9%|Stachybotrys_kampalensis|SH240985.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Incertae_sedis_3;g_Stachybotrys
OTU339	0	0	0	0	0	0	0	0	0	0	0	38	6%|Sebacinales_sp|SH227420.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Sebacinales;f_Sebacinales_unidentified;g_Sebacinales_unidentified_1
OTU340	0	0	0	0	0	0	0	0	0	0	37	0	100%|Sordariomycetes_sp|SH216771.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
OTU341	0	0	0	0	0	0	0	0	0	0	0	34	5%|Teratosphaeria_toledana|SH223525.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Capnodiales;f_Teratosphaeriaceae;g_Teratosphaeria
OTU342	2	0	0	0	0	0	22	13	4	0	0	0	6%|Knufia_perforans|SH209750.06FUk_Fungi;p_Ascomycota;c_Incertae_sedis_14;o_Incertae_sedis_15;f_Incertae_sedis_16;g_Knufia
OTU343	0	0	0	6	9	4	0	0	0	0	17	4	6%|Fungi_sp|SH236957.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
OTU344	0	0	0	0	0	0	4	0	5	0	32	0	9%|Parasympodiella_elongata|SH222247.06FUk_Fungi;p_Ascomycota;c_Incertae_sedis_14;o_Incertae_sedis_15;f_Incertae_sedis_16;g_Parasympodiella
OTU345	8	0	10	0	0	0	11	17	5	0	0	11	8%|Falcocladium_multivesiculatum|SH220371.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Nectriaceae;g_Falcocladium
OTU346	0	0	0	38	0	0	0	0	0	0	0	0	97%|Trichosporon_sp|SH198642.06FUk_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Trichosporonales;f_Trichosporonaceae;g_Trichosporon
OTU347	7	8	5	0	0	0	12	2	2	1	2	13	47%|Microascaceae_sp|SH224280.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Microascales;f_Microascaceae;g_Microascaceae_unidentified
OTU348	0	0	0	0	0	0	0	0	0	37	0	0	100%|Ascomycota_sp|SH197541.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU349	0	0	2	8	16	0	2	2	0	11	0	19	100%|Ascomycota_sp|SH202146.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU350	0	0	0	0	38	0	0	0	0	0	0	0	4%|Capnobotryella_sp|SH190932.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Capnodiales;f_Incertae_sedis_17;g_Capnobotryella
OTU351	0	0	0	37	0	0	0	0	0	0	0	0	86%|Cryptococcus_sp|SH226566.06FUk_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Tremellales;f_Incertae_sedis_12;g_Cryptococcus_1
OTU352	0	0	7	0	0	0	7	37	22	0	0	0	22%|Basidiomycota_sp|SH200585.06FUk_Fungi;p_Basidiomycota;c_Basidiomycota_unidentified;o_Basidiomycota_unidentified_1;f_Basidiomycota_unidentified_1;g_Basidiomycota_unidentified_1_1
OTU353	7	2	24	0	0	0	0	4	0	0	0	0	4%|Tremellales_sp|SH229402.06FUk_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Tremellales;f_Tremellales_unidentified;g_Tremellales_unidentified_1
OTU354	0	0	0	9	12	9	0	0	0	0	4	8	23%|Sebacinaceae_sp|SH234126.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Sebacinales;f_Sebacinaceae;g_Sebacinaceae_unidentified
OTU355	0	0	0	77	0	0	0	0	0	0	0	0	16%|Archaeorhizomycetes_sp|SH198729.06FUk_Fungi;p_Ascomycota;c_Archaeorhizomycetes;o_Archaeorhizomycetes_unidentified;f_Archaeorhizomycetes_unidentified_1;g_Archaeorhizomycetes_unidentified_1
OTU356	10	13	14	0	0	0	9	5	0	0	0	0	5%|Basidiomycota_sp|SH217991.06FUk_Fungi;p_Basidiomycota;c_Basidiomycota_unidentified;o_Basidiomycota_unidentified_1;f_Basidiomycota_unidentified_1;g_Basidiomycota_unidentified_1_1
OTU357	0	2	1	0	0	30	0	0	0	0	0	0	8%|Derxomyces_wuzhishanensis|SH197673.06FUk_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Tremellales;f_Incertae_sedis_12;g_Derxomyces
OTU358	0	0	0	0	32	0	0	0	0	1	0	0	86%|Ascomycota_sp|SH214041.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU359	0	0	0	0	39	0	0	0	0	0	0	0	99%|Pseudocercospora_araliae|SH212658.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Capnodiales;f_Mycosphaerellaceae;g_Pseudocercospora
OTU360	7	0	4	0	0	0	17	33	11	0	0	0	100%|Rhizophlyctis_rosea|SH220779.06FUk_Fungi;p_Chytridiomycota;c_Chytridiomycetes;o_Rhizophlyctidales;f_Rhizophlyctidaceae;g_Rhizophlyctis
OTU361	0	0	0	0	0	34	1	1	0	0	0	0	8%|Fungi_sp|SH236957.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
OTU362	0	0	0	0	0	0	0	0	0	35	0	0	85%|Cryptococcus_paraflavus|SH223311.06FUk_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Tremellales;f_Incertae_sedis_12;g_Cryptococcus_1
OTU363	0	1	0	0	0	0	12	9	28	0	0	0	13%|Antherospora_scillae|SH232317.06FUk_Fungi;p_Basidiomycota;c_Ustilaginomycetes;o_Urocystidales;f_Floromycetaceae;g_Antherospora
OTU364	1	7	4	0	0	0	5	17	2	0	0	0	2%|Olpidium_bornovanus|SH229162.06FUk_Fungi;p_Chytridiomycota;c_Chytridiomycetes;o_Olpidiales;f_Olpidiaceae;g_Olpidium
OTU365	0	0	0	0	0	0	0	48	0	0	0	0	12%|Tremellales_sp|SH229402.06FUk_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Tremellales;f_Tremellales_unidentified;g_Tremellales_unidentified_1
OTU366	0	0	0	0	0	0	26	6	6	0	0	0	9%|Acaulospora_cavernata|SH195296.06FUk_Fungi;p_Glomeromycota;c_Glomeromycetes;o_Diversisporales;f_Acaulosporaceae;g_Acaulospora
OTU367	0	0	34	0	0	0	0	0	0	0	0	0	5%|Tothia_fuscella|SH195931.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Microthyriales;f_Microthyriaceae;g_Tothia
OTU368	0	0	0	0	0	0	0	1	0	0	32	0	98%|Fungi_sp|SH230936.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
OTU369	12	0	3	0	0	2	1	14	1	0	3	2	74%|Agaricomycetes_sp|SH239884.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricomycetes_unidentified;f_Agaricomycetes_unidentified_1;g_Agaricomycetes_unidentified_1
OTU370	1	16	0	1	0	17	2	0	0	0	0	3	82%|Chaetomium_incomptum|SH234939.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Chaetomiaceae;g_Chaetomium
OTU371	0	0	0	0	32	0	0	0	0	0	0	0	27%|Herpotrichiellaceae_sp|SH239314.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Chaetothyriales;f_Herpotrichiellaceae;g_Herpotrichiellaceae_unidentified
OTU372	0	0	0	0	0	0	0	0	0	0	20	13	85%|Auriculariales_sp|SH210371.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_Auriculariales_unidentified;g_Auriculariales_unidentified_1
OTU373	0	0	0	0	0	33	0	0	0	1	0	0	100%|Exobasidiomycetes_sp|SH230059.06FUk_Fungi;p_Basidiomycota;c_Exobasidiomycetes;o_Exobasidiomycetes_unidentified;f_Exobasidiomycetes_unidentified_1;g_Exobasidiomycetes_unidentified_1
OTU374	0	0	0	34	0	0	0	0	0	0	0	0	5%|Knufia_perforans|SH209750.06FUk_Fungi;p_Ascomycota;c_Incertae_sedis_14;o_Incertae_sedis_15;f_Incertae_sedis_16;g_Knufia
OTU375	6	1	14	0	0	0	1	8	1	0	0	0	12%|Fungi_sp|SH234355.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
OTU376	0	0	0	0	0	19	0	0	0	12	0	0	100%|Corynespora_cassiicola|SH223217.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Corynesporascaceae;g_Corynespora
OTU377	0	0	0	0	0	31	0	0	0	0	0	0	92%|Tremellales_sp|SH229008.06FUk_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Tremellales;f_Tremellales_unidentified;g_Tremellales_unidentified_1
OTU378	10	11	16	0	0	2	21	7	3	0	0	0	40%|Gliomastix_tumulicola|SH219544.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Incertae_sedis_3;g_Gliomastix
OTU379	22	4	3	0	0	0	2	0	0	0	0	0	31%|Fungi_sp|SH235187.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
OTU380	0	0	0	0	0	0	0	0	0	0	33	0	35%|Thermoascus_aurantiacus|SH213228.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Thermoascaceae;g_Thermoascus
OTU381	0	0	0	23	0	0	0	0	0	0	0	11	50%|Cenococcum_sp|SH196554.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Hysteriales;f_Gloniaceae;g_Cenococcum
OTU382	18	9	9	0	0	0	0	0	0	0	0	0	4%|Minimedusa_sp|SH221764.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Cantharellales;f_Incertae_sedis_24;g_Minimedusa
OTU383	0	0	0	0	18	0	0	0	0	11	0	5	7%|Tremellales_sp|SH229402.06FUk_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Tremellales;f_Tremellales_unidentified;g_Tremellales_unidentified_1
OTU384	23	9	13	0	0	0	0	0	0	0	0	0	7%|Fungi_sp|SH235187.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
OTU385	12	0	18	0	0	0	0	0	0	0	0	0	19%|Pyronemataceae_sp|SH240968.06FUk_Fungi;p_Ascomycota;c_Pezizomycetes;o_Pezizales;f_Pyronemataceae;g_Pyronemataceae_unidentified
OTU386	0	0	0	0	0	0	19	6	9	0	0	0	9%|Gliomastix_tumulicola|SH219544.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Incertae_sedis_3;g_Gliomastix
OTU387	2	16	14	2	0	3	0	0	0	0	2	0	4%|Derxomyces_wuzhishanensis|SH197673.06FUk_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Tremellales;f_Incertae_sedis_12;g_Derxomyces
OTU388	12	8	0	0	0	0	7	8	25	0	0	0	6%|Ramicandelaber_sp_HMH_2010a|SH237136.06FUk_Fungi;p_Zygomycota;c_Incertae_sedis_10;o_Kickxellales;f_Kickxellaceae;g_Ramicandelaber
OTU389	0	0	0	0	0	30	0	0	0	0	0	0	3%|Boletales_sp|SH238641.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Boletales;f_Boletales_unidentified;g_Boletales_unidentified_1
OTU390	0	0	0	0	0	0	0	0	0	29	0	0	8%|Cladoriella_eucalypti|SH233933.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Incertae_sedis_8;f_Incertae_sedis_19;g_Cladoriella
OTU391	7	0	0	0	0	0	7	7	11	0	0	0	97%|Aspergillus_iizukae|SH236358.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Trichocomaceae;g_Aspergillus
OTU392	0	0	0	28	1	0	0	0	0	0	0	0	46%|Preussia_sp_2_JAS_2013|SH235616.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Sporormiaceae;g_Preussia
OTU393	0	0	0	0	0	0	33	10	14	0	0	0	0%|Pulchromyces_fimicola|SH227367.06FUk_Fungi;p_Ascomycota;c_Incertae_sedis_14;o_Incertae_sedis_15;f_Incertae_sedis_16;g_Pulchromyces
OTU394	0	0	0	0	0	0	0	0	0	9	7	13	45%|Cercophora_samala|SH234978.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Lasiosphaeriaceae;g_Cercophora
OTU395	0	0	0	21	28	0	0	0	0	45	0	0	7%|Knufia_perforans|SH209750.06FUk_Fungi;p_Ascomycota;c_Incertae_sedis_14;o_Incertae_sedis_15;f_Incertae_sedis_16;g_Knufia
OTU396	7	11	9	0	0	0	9	4	2	0	0	0	94%|Pseudallescheria_angusta|SH210193.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Microascales;f_Microascaceae;g_Pseudallescheria
OTU397	0	0	0	10	0	0	0	0	0	0	0	18	100%|Oidiodendron_pilicola|SH217744.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Incertae_sedis_8;f_Myxotrichaceae;g_Oidiodendron
OTU398	2	0	0	0	24	0	0	0	1	0	5	2	100%|Pleosporales_sp|SH224126.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Pleosporales_unidentified;g_Pleosporales_unidentified_1
OTU399	0	0	0	0	0	28	0	0	0	0	0	0	100%|Acrostalagmus_luteoalbus|SH190014.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Hypocreaceae;g_Acrostalagmus
OTU400	0	1	0	0	0	0	32	17	14	0	0	0	100%|Sordariales_sp|SH229371.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Sordariales_unidentified;g_Sordariales_unidentified_1
OTU401	0	0	0	0	0	0	0	0	0	0	0	56	88%|Sordariales_sp|SH198732.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Sordariales_unidentified;g_Sordariales_unidentified_1
OTU402	0	0	0	0	0	29	0	0	0	0	0	0	48%|Sordariomycetes_sp|SH201443.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
OTU403	0	0	0	0	0	0	126	11	19	0	0	0	7%|Derxomyces_wuzhishanensis|SH197673.06FUk_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Tremellales;f_Incertae_sedis_12;g_Derxomyces
OTU404	0	12	0	0	0	0	7	0	12	0	0	0	73%|Ascomycota_sp|SH235824.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU405	17	0	0	0	0	0	16	31	25	0	0	0	13%|Ramicandelaber_sp_HMH_2010a|SH237136.06FUk_Fungi;p_Zygomycota;c_Incertae_sedis_10;o_Kickxellales;f_Kickxellaceae;g_Ramicandelaber
OTU406	0	0	0	0	0	28	0	0	0	0	0	0	73%|Hypocreales_sp|SH220975.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Hypocreales_unidentified;g_Hypocreales_unidentified_1
OTU407	0	0	0	28	0	0	0	0	0	0	0	0	30%|Archaeorhizomyces_sp|SH197156.06FUk_Fungi;p_Ascomycota;c_Archaeorhizomycetes;o_Archaeorhizomycetales;f_Archaeorhizomycetaceae;g_Archaeorhizomyces
OTU408	0	0	0	23	0	16	0	0	0	0	5	0	5%|Phymatotrichopsis_omnivora|SH207548.06FUk_Fungi;p_Ascomycota;c_Pezizomycetes;o_Pezizales;f_Rhizinaceae;g_Phymatotrichopsis
OTU409	0	0	0	0	4	25	0	0	0	0	0	0	98%|Malasseziales_sp|SH206221.06FUk_Fungi;p_Basidiomycota;c_Incertae_sedis_4;o_Malasseziales;f_Malasseziales_unidentified;g_Malasseziales_unidentified_1
OTU410	0	0	27	0	0	0	0	0	0	28	0	0	28%|Ramicandelaber_sp_HMH_2010b|SH237553.06FUk_Fungi;p_Zygomycota;c_Incertae_sedis_10;o_Kickxellales;f_Kickxellaceae;g_Ramicandelaber
OTU411	0	0	0	0	0	28	0	0	0	0	0	0	5%|Sordariomycetes_sp|SH237144.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
OTU412	0	0	0	27	0	0	0	0	0	0	0	0	93%|Humicola_nigrescens|SH234919.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Chaetomiaceae;g_Humicola
OTU413	0	0	0	0	0	0	9	6	13	0	0	0	4%|Ascomycota_sp|SH222046.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU414	0	0	0	0	0	0	0	0	0	29	0	0	9%|Pulchromyces_fimicola|SH227367.06FUk_Fungi;p_Ascomycota;c_Incertae_sedis_14;o_Incertae_sedis_15;f_Incertae_sedis_16;g_Pulchromyces
OTU415	13	6	8	0	0	0	1	1	2	0	0	0	16%|Mortierella_sp|SH214852.06FUk_Fungi;p_Zygomycota;c_Incertae_sedis_10;o_Mortierellales;f_Mortierellaceae;g_Mortierella
OTU416	0	0	0	0	0	0	0	0	0	26	0	0	1%|Hygrophoraceae_sp|SH200847.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales;f_Hygrophoraceae;g_Hygrophoraceae_unidentified
OTU417	8	9	15	0	0	0	2	2	1	0	0	0	6%|Diversisporaceae_sp|SH200230.06FUk_Fungi;p_Glomeromycota;c_Glomeromycetes;o_Diversisporales;f_Diversisporaceae;g_Diversisporaceae_unidentified
OTU418	0	0	0	26	0	0	0	0	0	0	0	0	7%|Sebacinaceae_sp|SH234126.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Sebacinales;f_Sebacinaceae;g_Sebacinaceae_unidentified
OTU419	0	0	0	0	0	27	0	0	0	0	0	0	35%|Archaeorhizomyces_sp|SH240529.06FUk_Fungi;p_Ascomycota;c_Archaeorhizomycetes;o_Archaeorhizomycetales;f_Archaeorhizomycetaceae;g_Archaeorhizomyces
OTU420	0	0	0	0	0	25	0	0	0	0	0	0	99%|Paecilomyces_tenuipes|SH228188.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Trichocomaceae;g_Paecilomyces
OTU421	0	0	0	0	26	0	0	0	0	0	0	0	6%|Sordariomycetes_sp|SH237144.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
OTU422	0	0	0	0	0	0	0	0	0	0	26	0	14%|Venturiaceae_sp|SH232828.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Venturiales;f_Venturiaceae;g_Venturiaceae_unidentified
OTU423	0	0	0	0	0	0	18	2	9	0	0	0	30%|Ophiocordyceps_rubiginosiperitheciata|SH227646.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Ophiocordycipitaceae;g_Ophiocordyceps
OTU424	0	0	0	0	0	0	0	0	0	25	0	0	100%|Lasiosphaeriaceae_sp|SH238403.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Lasiosphaeriaceae;g_Lasiosphaeriaceae_unidentified
OTU425	26	0	0	0	0	0	0	0	0	0	0	0	42%|Ramicandelaber_sp_HMH_2010b|SH237553.06FUk_Fungi;p_Zygomycota;c_Incertae_sedis_10;o_Kickxellales;f_Kickxellaceae;g_Ramicandelaber
OTU426	0	0	0	11	10	0	0	0	0	0	0	35	100%|Saccharomycetales_sp|SH196646.06FUk_Fungi;p_Ascomycota;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetales_unidentified;g_Saccharomycetales_unidentified_1
OTU427	0	0	26	0	0	0	0	0	0	0	0	0	13%|Sordariomycetes_sp|SH237144.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
OTU428	0	0	0	0	0	0	0	0	0	26	0	0	56%|Auriculariales_sp|SH225278.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_Auriculariales_unidentified;g_Auriculariales_unidentified_1
OTU429	0	0	0	0	0	6	0	0	0	0	26	0	16%|Ramicandelaber_sp_HMH_2010a|SH237136.06FUk_Fungi;p_Zygomycota;c_Incertae_sedis_10;o_Kickxellales;f_Kickxellaceae;g_Ramicandelaber
OTU430	0	1	0	26	0	0	0	0	0	0	0	1	98%|Fungi_sp|SH230936.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
OTU431	0	0	0	0	0	0	0	0	0	0	29	0	5%|Sordariales_sp|SH234961.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Sordariales_unidentified;g_Sordariales_unidentified_1
OTU432	0	0	0	0	0	0	0	0	0	18	30	0	85%|Dactylellina_drechsleri|SH224696.06FUk_Fungi;p_Ascomycota;c_Orbiliomycetes;o_Orbiliales;f_Orbiliaceae;g_Dactylellina
OTU433	0	0	0	0	0	0	0	0	0	29	0	0	9%|Rhodotorula_lamellibrachiae|SH227552.06FUk_Fungi;p_Basidiomycota;c_Microbotryomycetes;o_Sporidiobolales;f_Incertae_sedis_25;g_Rhodotorula
